learnerId,trainingId,progressPercentage,averageScore,completedLessons,totalLessons,completedQuizzes,totalQuizzes,totalEvents,totalTrainingsStarted,totalTrainingsCompleted,lessonCompletionRate,quizCompletionRate,scoreRatio,daysSinceLastActivity,avgEventsPerTraining,at_risk
1,1,20,23,2,10,1,3,1,1,0,0.2,0.3333,0.23,34,1.0,1
2,8,93,96,9,10,3,3,20,2,0,0.9,1.0,0.96,3,10.0,0
3,10,53,57,4,7,2,4,12,4,0,0.5714,0.5,0.57,4,3.0,0
4,3,66,52,6,9,1,1,10,4,2,0.6667,1.0,0.52,17,2.5,0
5,8,84,74,6,7,2,2,24,4,2,0.8571,1.0,0.74,5,6.0,0
6,5,50,74,3,6,2,4,11,1,0,0.5,0.5,0.74,5,11.0,0
7,4,62,54,4,6,2,3,13,3,0,0.6667,0.6667,0.54,15,4.3333,0
8,4,71,58,5,7,3,4,13,3,0,0.7143,0.75,0.58,6,4.3333,0
9,9,67,64,3,4,3,4,8,4,2,0.75,0.75,0.64,13,2.0,0
10,5,80,90,3,4,1,1,19,4,2,0.75,1.0,0.9,5,4.75,0
11,6,57,74,5,9,2,3,12,1,0,0.5556,0.6667,0.74,7,12.0,0
12,10,18,21,1,5,0,2,7,1,0,0.2,0.0,0.21,18,7.0,1
13,10,62,65,4,6,1,2,17,3,1,0.6667,0.5,0.65,14,5.6667,0
14,5,68,72,4,6,1,1,25,3,1,0.6667,1.0,0.72,6,8.3333,0
15,10,41,65,3,8,2,4,7,2,0,0.375,0.5,0.65,9,3.5,0
16,4,77,73,7,9,2,2,30,2,1,0.7778,1.0,0.73,2,15.0,0
17,5,44,30,3,6,2,4,7,2,1,0.5,0.5,0.3,35,3.5,1
18,3,63,56,5,8,3,4,8,4,2,0.625,0.75,0.56,13,2.0,0
19,5,66,70,7,11,1,1,9,3,0,0.6364,1.0,0.7,9,3.0,0
20,6,67,51,6,9,1,1,11,1,0,0.6667,1.0,0.51,5,11.0,0
21,4,67,55,7,10,1,1,17,4,2,0.7,1.0,0.55,7,4.25,0
22,7,1,37,0,9,0,2,4,4,0,0.0,0.0,0.37,26,1.0,1
23,1,7,43,1,10,0,2,4,4,1,0.1,0.0,0.43,28,1.0,1
24,6,80,81,6,8,3,4,10,4,2,0.75,0.75,0.81,6,2.5,0
25,2,39,58,2,6,0,1,13,3,2,0.3333,0.0,0.58,6,4.3333,0
26,4,97,77,4,4,3,3,12,3,2,1.0,1.0,0.77,0,4.0,0
27,4,72,99,6,8,3,4,16,3,1,0.75,0.75,0.99,5,5.3333,0
28,10,70,79,8,12,1,1,30,4,0,0.6667,1.0,0.79,3,7.5,0
29,9,5,41,1,11,0,4,2,1,0,0.0909,0.0,0.41,26,2.0,1
30,8,91,93,6,7,2,2,15,1,0,0.8571,1.0,0.93,3,15.0,0
31,10,41,26,2,4,0,1,1,2,1,0.5,0.0,0.26,36,0.5,1
32,1,14,33,1,5,0,2,4,3,1,0.2,0.0,0.33,44,1.3333,0
33,2,65,91,3,5,1,1,12,2,1,0.6,1.0,0.91,7,6.0,0
34,8,9,21,1,9,0,2,0,3,2,0.1111,0.0,0.21,35,0.0,1
35,2,74,59,7,9,3,4,11,3,1,0.7778,0.75,0.59,4,3.6667,0
36,6,98,88,6,6,4,4,13,3,3,1.0,1.0,0.88,4,4.3333,0
37,2,7,44,1,10,0,2,8,3,2,0.1,0.0,0.44,16,2.6667,1
38,7,65,78,7,11,3,4,15,4,1,0.6364,0.75,0.78,6,3.75,0
39,3,34,44,3,10,1,3,3,1,0,0.3,0.3333,0.44,20,3.0,1
40,4,12,38,1,5,0,3,2,2,0,0.2,0.0,0.38,28,1.0,1
41,9,68,84,7,11,3,4,17,1,0,0.6364,0.75,0.84,4,17.0,0
42,4,6,44,0,6,0,4,1,2,1,0.0,0.0,0.44,15,0.5,1
43,2,72,75,6,8,1,1,11,2,1,0.75,1.0,0.75,6,5.5,0
44,9,48,72,3,7,2,4,15,4,2,0.4286,0.5,0.72,16,3.75,0
45,1,88,87,11,12,1,1,18,2,0,0.9167,1.0,0.87,7,9.0,0
46,10,4,24,0,8,0,4,3,4,2,0.0,0.0,0.24,11,0.75,1
47,1,14,52,2,11,1,4,7,3,1,0.1818,0.25,0.52,30,2.3333,1
48,8,56,79,3,5,2,4,15,2,1,0.6,0.5,0.79,15,7.5,0
49,4,80,84,5,6,2,2,18,3,0,0.8333,1.0,0.84,1,6.0,0
50,6,48,55,3,7,1,3,8,2,1,0.4286,0.3333,0.55,13,4.0,0
51,10,53,66,6,11,1,2,16,2,1,0.5455,0.5,0.66,17,8.0,0
52,6,87,75,7,8,3,4,10,1,0,0.875,0.75,0.75,5,10.0,0
53,6,40,69,4,11,2,4,13,3,1,0.3636,0.5,0.69,4,4.3333,0
54,1,7,52,1,10,0,1,5,2,1,0.1,0.0,0.52,24,2.5,1
55,10,45,51,5,12,0,1,11,3,0,0.4167,0.0,0.51,4,3.6667,0
56,2,62,66,2,4,2,3,14,4,3,0.5,0.6667,0.66,13,3.5,0
57,3,98,94,9,9,1,1,25,1,1,1.0,1.0,0.94,0,25.0,0
58,8,66,72,5,7,3,4,14,4,3,0.7143,0.75,0.72,8,3.5,0
59,8,76,74,8,11,2,2,13,1,0,0.7273,1.0,0.74,7,13.0,0
60,10,42,67,4,10,1,2,17,2,1,0.4,0.5,0.67,17,8.5,0
61,2,75,76,5,7,2,3,10,1,0,0.7143,0.6667,0.76,17,10.0,0
62,9,39,51,4,9,0,1,12,1,0,0.4444,0.0,0.51,13,12.0,0
63,8,47,59,5,11,1,2,5,2,1,0.4545,0.5,0.59,9,2.5,0
64,10,2,56,0,8,0,1,2,4,3,0.0,0.0,0.56,33,0.5,1
65,7,62,69,7,12,1,1,13,4,3,0.5833,1.0,0.69,4,3.25,0
66,1,37,28,3,8,0,1,8,2,1,0.375,0.0,0.28,10,4.0,0
67,1,37,80,1,4,0,1,17,1,0,0.25,0.0,0.8,15,17.0,0
68,3,36,24,1,4,1,3,7,3,2,0.25,0.3333,0.24,37,2.3333,0
69,9,90,85,7,8,1,1,25,3,1,0.875,1.0,0.85,4,8.3333,0
70,5,91,70,5,5,4,4,12,3,1,1.0,1.0,0.7,2,4.0,0
71,10,35,51,3,8,0,1,16,2,1,0.375,0.0,0.51,6,8.0,0
72,4,8,44,0,4,0,4,4,4,1,0.0,0.0,0.44,26,1.0,1
73,7,24,32,2,8,0,1,5,3,2,0.25,0.0,0.32,24,1.6667,1
